sf/idax Counts Format A only/Charles Brenham_McAllister.txt,McAllister St / Charles Brenham,x,Tue Apr 08 2014,16:00-16:15,0,0,0,0,47,1,1,0,255,3,4,0,0,33,18,38,9,7,4,0,
sf/idax Counts Format A only/Charles Brenham_McAllister.txt,McAllister St / Charles Brenham,x,Tue Apr 08 2014,16:15-16:30,0,0,0,0,46,0,3,0,297,0,4,0,0,28,17,65,5,8,3,0,
sf/idax Counts Format A only/Charles Brenham_McAllister.txt,McAllister St / Charles Brenham,x,Tue Apr 08 2014,16:30-16:45,0,0,0,0,51,0,2,0,276,4,5,0,0,21,20,65,8,7,1,0,
sf/idax Counts Format A only/Charles Brenham_McAllister.txt,McAllister St / Charles Brenham,x,Tue Apr 08 2014,16:45-17:00,0,0,0,0,35,0,3,0,301,2,4,0,0,13,13,76,13,7,6,0,
sf/idax Counts Format A only/Charles Brenham_McAllister.txt,McAllister St / Charles Brenham,x,Tue Apr 08 2014,17:00-17:15,0,0,0,0,47,0,0,0,293,1,3,0,0,21,28,136,18,11,1,0,
sf/idax Counts Format A only/Charles Brenham_McAllister.txt,McAllister St / Charles Brenham,x,Tue Apr 08 2014,17:15-17:30,0,0,0,0,58,0,3,0,287,0,4,0,0,26,28,119,22,22,2,0,
sf/idax Counts Format A only/Charles Brenham_McAllister.txt,McAllister St / Charles Brenham,x,Tue Apr 08 2014,17:30-17:45,0,0,0,0,38,0,1,0,309,0,1,0,0,16,16,127,25,23,2,0,
sf/idax Counts Format A only/Charles Brenham_McAllister.txt,McAllister St / Charles Brenham,x,Tue Apr 08 2014,17:45-18:00,0,0,0,0,36,0,1,0,286,0,5,0,0,10,17,121,16,30,1,0,
sf/idax Counts Format A only/Cyril Magnin_Ellis.txt,Ellis St / Cyril Magnin St,x,Wed Apr 09 2014,16:00-16:15,14,0,9,2,29,0,32,45,101,0,0,0,116,188,204,16,2,4,0,0,
sf/idax Counts Format A only/Cyril Magnin_Ellis.txt,Ellis St / Cyril Magnin St,x,Wed Apr 09 2014,16:15-16:30,11,0,10,4,21,0,35,46,103,0,0,0,101,150,130,10,2,5,0,1,
sf/idax Counts Format A only/Cyril Magnin_Ellis.txt,Ellis St / Cyril Magnin St,x,Wed Apr 09 2014,16:30-16:45,12,0,4,3,25,0,40,47,107,0,0,0,122,171,114,13,3,1,0,1,
sf/idax Counts Format A only/Cyril Magnin_Ellis.txt,Ellis St / Cyril Magnin St,x,Wed Apr 09 2014,16:45-17:00,13,0,9,5,39,0,28,38,102,0,0,0,94,126,105,17,6,0,0,0,
